   94291718, 2, 2CFx, 8, 01 00 06 00 00 78 0E 01 
   94293377, 2, 23Dx, 8, BE 02 00 00 00 00 00 08 
   94293964, 2, 158x, 4, 33 00 00 00 
   94294926, 2,  A1x, 8, B3 A3 4B 40 14 4A C0 ED 
   94295179, 2,  ACx, 8, 68 87 7C 7D 62 70 7F 07 
   94295418, 2,  EAx, 8, 93 23 81 27 FB 00 82 08 
   94296756, 2,  A3x, 8, BC A3 4D 40 91 4B C0 27 
   94297009, 2,  ECx, 8, C4 03 00 00 A3 9C 0D 03 
   94297452, 2, 20Bx, 8, 74 05 68 42 09 10 03 01 
   94298961, 2, 154x, 4, 28 03 00 00 
   94299220, 2, 335x, 8, CF C0 CC 1F 08 00 00 00 
   94299446, 2,  B1x, 8, A4 4B 7F C3 03 59 08 31 
   94299930, 2,  74x, 8, 74 13 00 08 80 00 00 00 
   94300176, 2,  2Fx, 8, 17 2B 85 5F 00 20 FF 3F 
   94300552, 2,  96x, 8, D6 D6 82 5F 80 12 00 10 
   94300804, 2, 2F1x, 8, E3 1E 00 1A A6 01 0A 04 
   94301781, 2,  98x, 8, 16 53 2B 50 03 40 10 FF 
   94304375, 2,  3Dx, 8, E1 0A 16 1A 0D 00 00 FF 
   94304928, 2,  87x, 8, F5 04 00 00 00 00 05 38 
   94306423, 2, 309x, 8, 2F 8D 01 46 00 00 40 80 
   94308123, 2,  AEx, 8, 1F 1F 86 48 31 05 0C FF 
   94308362, 2, 239x, 8, B5 71 FF FF FF FF 7F FF 
   94309359, 2,  77x, 8, AD 0A EC 0D 10 08 D8 08 
   94309673, 2, 122x, 8, 8C 00 04 0A 00 00 00 00 
   94309946, 2,  2Fx, 8, 77 2C 85 5F 00 20 FF 3F 
   94310519, 2,  94x, 8, EB 17 82 E9 19 94 80 00 
   94313373, 2, 23Dx, 8, F3 03 00 00 00 00 00 08 
   94313960, 2, 158x, 4, D8 01 00 00 
   94314923, 2,  A1x, 8, 85 A4 4D 40 15 4B C0 EE 
   94315182, 2,  ACx, 8, 1B 88 7C 7D 62 70 7F 07 
   94315428, 2,  EAx, 8, 02 24 88 27 FB 00 82 08 
   94316759, 2,  A3x, 8, C3 A4 4D 40 93 4B C0 28 
   94317012, 2,  ECx, 8, A0 04 00 00 9F 9C 17 03 
   94318350, 2, 23Cx, 8, BE 01 C8 72 64 C8 72 64 
   94318964, 2, 154x, 4, A3 04 00 00 
   94319162, 2, 337x, 4, 50 03 00 00 
   94319401, 2,  B1x, 8, 9B 4D 7F C4 03 56 08 31 
   94319920, 2,  74x, 8, 65 14 00 08 80 00 00 00 
   94320166, 2,  2Fx, 8, 56 2D 86 5F 00 20 FF 3F 
   94320575, 2,  96x, 8, 5F D8 82 49 80 12 00 10 
   94321777, 2,  98x, 8, 44 54 2B 60 03 41 10 FF 
   94324050, 2, 34Dx, 2, 00 00 
   94324385, 2,  3Dx, 8, BB 0B 16 1A 0D 00 00 FF 
   94324931, 2,  87x, 8, 2D 05 00 00 00 00 05 38 
   94325648, 2,  83x, 8, 41 09 79 40 80 21 20 7F 
   94328085, 2,  AEx, 8, 14 10 7F 48 35 05 0C FF 
   94328324, 2, 363x, 8, FF 10 FF C2 00 00 00 08 
   94328556, 2, 23Ex, 8, 4A 01 23 16 ED D0 61 00 
   94329362, 2,  77x, 8, 30 0B F4 0D 10 08 D4 08 
   94329942, 2,  2Fx, 8, BA 2E 85 5F 00 20 FF 3F 
   94330495, 2,  94x, 8, 33 49 82 E9 19 94 80 00 
   94333376, 2, 23Dx, 8, 78 04 00 00 00 00 00 08 
   94333956, 2, 158x, 4, CA 02 00 00 
   94334926, 2,  A1x, 8, 25 A5 4D 40 16 4B C0 EF 
   94335185, 2,  ACx, 8, B6 89 7C 7D 62 70 7F 07 
   94335431, 2,  EAx, 8, 8F 25 90 27 FB 00 82 08 
   94336755, 2,  A3x, 8, 45 A5 4D 40 94 4C C0 29 
   94337001, 2,  ECx, 8, 57 05 00 00 99 9C 23 03 
   94338578, 2, 401x, 8, 78 C8 0A 00 00 70 00 00 
   94338967, 2, 154x, 4, 38 05 00 00 
   94339397, 2,  B1x, 8, 60 4F 7F C7 03 5C 08 31 
   94339930, 2,  74x, 8, 07 15 00 08 80 00 00 00 
   94340182, 2,  2Fx, 8, 4B 2F 85 5F 00 20 FF 3F 
   94340524, 2,  96x, 8, D9 DA 82 49 80 12 00 10 
   94340776, 2, 22Fx, 8, 88 49 01 00 00 00 00 00 
   94341780, 2,  98x, 8, B9 55 2C 70 03 41 10 FF 
   94343569, 2, 1E1x, 8, D5 0D 00 B3 0D 00 00 00 
   94344374, 2,  3Dx, 8, 23 0C 16 1A 0D 00 00 FF 
   94344934, 2,  87x, 8, 6A 06 00 00 00 00 05 38 
   94348081, 2,  AEx, 8, 13 11 72 48 27 05 0C FF 
   94349365, 2,  77x, 8, 71 0C F4 0D 10 08 D8 08 
   94349945, 2,  2Fx, 8, 9D 20 86 5F 00 20 FF 3F 
   94350614, 2,  20x, 8, 1C C9 41 0C F1 00 00 00 
   94350860, 2,  94x, 8, 11 2B 82 E9 19 94 80 00 
   94352655, 2, 209x, 8, F3 0B 68 1A EA 43 00 C9 
   94353393, 2, 23Dx, 8, BC 05 00 00 00 00 00 08 
   94353959, 2, 158x, 4, 21 03 00 00 
   94354355, 2, 151x, 8, 66 78 D2 94 00 80 92 10 
   94354929, 2,  A1x, 8, 1D A6 4D 40 17 4C C0 F0 
   94355181, 2,  ACx, 8, A6 8A 7C 7E 62 70 7F 07 
   94355427, 2,  EAx, 8, 53 26 97 27 FB 00 82 08 
   94356765, 2,  A3x, 8, 29 A6 4D 40 95 4D C0 2B 
   94357011, 2,  ECx, 8, B3 06 00 00 94 9C 2C 03 
   94357455, 2, 3DDx, 8, 91 02 A8 3C ED B0 22 00 
   94358363, 2, 23Cx, 8, F6 02 C8 72 64 C8 72 64 
   94358964, 2, 154x, 4, 4F 06 00 00 
   94359414, 2,  B1x, 8, 22 41 7F D1 03 5A 08 31 
   94359926, 2,  74x, 8, 9F 16 00 08 80 00 00 00 
   94360179, 2,  2Fx, 8, B9 21 85 5F 00 20 FF 3F 
   94360554, 2,  96x, 8, C0 DC 82 49 80 12 00 10 
   94360800, 2, 159x, 8, 82 02 04 8C 00 7A 6F EB 
   94361776, 2,  98x, 8, BB 56 2C 70 03 41 10 FF 
   94363374, 2, 23Bx, 8, 00 F0 03 A0 FF FF 00 00 
   94363920, 2, 23Fx, 8, 20 88 FF 7F 00 08 08 70 
   94364411, 2,  3Dx, 8, 48 0D 16 19 0D 00 00 FF 
   94364978, 2,  87x, 8, B2 07 00 00 00 00 05 38 
   94365565, 2,  83x, 8, B3 0B 7A 40 80 20 20 7F 
   94368091, 2,  AEx, 8, 94 12 6A 48 24 05 0C FF 
   94368371, 2, 23Ex, 8, DD 02 23 16 ED D0 61 00 
   94369354, 2,  77x, 8, F4 0D F4 0D 10 08 D8 08 
   94369948, 2, 225x, 8, 3E 09 24 00 00 00 00 00 
   94370201, 2,  2Fx, 8, F0 22 85 5F 00 20 FF 3F 
   94370535, 2,  94x, 8, 9F 2D 82 E9 19 94 80 00 
   94370856, 2, 2F3x, 8, 4F 1E 80 7F 14 01 01 4C 
   94373375, 2, 23Dx, 8, DF 06 00 00 00 00 00 08 
   94373962, 2, 158x, 4, 40 04 00 00 
   94374932, 2,  A1x, 8, 49 A7 4D 40 19 4C C0 F2 
